file_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,MOS,distortion annotation,quality report
images/1.jpg,75,50,50,50,50,75,75,50,75,50,50,50,50,75,50,50,75,58.82,"[{""magnitude"": ""mild"", ""factor"": ""underexposure"", ""position"": ""entire image""}]",The image is fair in quality. There is mild underexposure in the entire image.
images/2.jpg,50,75,75,50,25,100,50,50,75,50,75,50,50,75,50,50,50,58.82,"[{""magnitude"": ""mild"", ""factor"": ""underexposure"", ""position"": ""entire image""}]",The image is fair in quality. There is mild underexposure in the entire image.
images/3.jpg,50,75,50,50,50,50,50,50,75,25,75,50,50,50,50,50,75,54.41,"[{""magnitude"": ""mild"", ""factor"": ""underexposure"", ""position"": ""entire image""}, {""magnitude"": ""medium"", ""factor"": ""out of focus"", ""position"": ""center bottom""}]",The image is fair in quality. There is mild underexposure in the entire image. There is medium out of focus in the center bottom.
images/4.jpg,75,75,50,50,25,100,50,50,75,50,75,50,50,75,75,75,75,63.24,"[{""magnitude"": ""mild"", ""factor"": ""underexposure"", ""position"": ""entire image""}]",The image is good in quality. There is mild underexposure in the entire image.
images/5.jpg,75,75,25,50,25,50,25,50,25,50,75,50,50,100,50,25,75,51.47,"[{""magnitude"": ""mild"", ""factor"": ""overexposure"", ""position"": ""entire image""}]",The image is fair in quality. There is mild overexposure in the entire image.
images/6.jpg,25,50,25,50,50,75,50,50,50,50,50,50,50,75,50,25,75,50.0,"[{""magnitude"": ""mild"", ""factor"": ""out of focus"", ""position"": ""center""}]",The image is fair in quality. There is mild out of focus in the center.
images/7.jpg,50,75,50,50,50,75,50,75,75,75,50,50,50,75,50,50,75,60.29,"[{""magnitude"": ""mild"", ""factor"": ""overexposure"", ""position"": ""center""}, {""magnitude"": ""medium"", ""factor"": ""noise and artifact"", ""position"": ""entire image""}]",The image is fair in quality. There is mild overexposure in the center. There is medium noise and artifact in the entire image.
images/8.jpg,75,75,75,75,75,75,100,50,100,50,75,25,75,75,50,75,75,70.59,"[{""magnitude"": ""mild"", ""factor"": ""underexposure"", ""position"": ""entire image""}]",The image is good in quality. There is mild underexposure in the entire image.
images/9.jpg,50,75,50,75,75,100,50,75,75,25,75,50,75,100,75,75,75,69.12,"[{""magnitude"": ""mild"", ""factor"": ""noise and artifact"", ""position"": ""entire image""}]",The image is good in quality. There is mild noise and artifact in the entire image.
images/10.jpg,50,75,50,25,50,75,75,50,75,75,50,50,50,75,25,50,100,58.82,"[{""magnitude"": ""mild"", ""factor"": ""overexposure"", ""position"": ""center top""}, {""magnitude"": ""mild"", ""factor"": ""out of focus"", ""position"": ""center""}]",The image is fair in quality. There is mild overexposure in the center top. There is mild out of focus in the center.
